timestamp,token_id,name,symbol,market_cap,total_volume,solana_mint,longterm_holders,pct_change
book-of-meme,BOOK OF MEME,bome,2025-02-12T11:39:59.811275,139984234,55024066,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,784,59.02636916835699
zignaly,ZIGChain,zig,2025-02-12T11:39:59.811275,130566701,5906957,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,641,313.54838709677415
tars-protocol,TARS AI,tai,2025-02-12T11:39:59.811275,115178300,4445308,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,732,245.2830188679245
2025-02-12T12:33:27.275614,ai16z,ai16z,ai16z,563603138,331687634,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
2025-02-12T12:33:27.275614,ai-rig-complex,AI Rig Complex,arc,333471379,144096620,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
2025-02-12T12:33:27.275614,aixbt,aixbt by Virtuals,aixbt,216132069,137022342,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,0,-100.0
2025-02-12T12:33:27.275614,melania-meme,Melania Meme,melania,214979978,48149338,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,916,0.0
2025-02-12T12:33:27.275614,act-i-the-ai-prophecy,Act I The AI Prophecy,act,173819810,49990429,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,342,21.27659574468085
2025-02-12T12:33:27.275614,griffain,GRIFFAIN,griffain,149995025,45675272,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,449,-46.16306954436451
2025-02-12T12:33:27.275614,book-of-meme,BOOK OF MEME,bome,140674183,54766430,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,397,-19.959677419354836
