timestamp,token_id,name,symbol,market_cap,total_volume,solana_mint,longterm_holders,pct_change
ai16z,ai16z,ai16z,2025-02-13T01:18:13.205281,577201406,343839554,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
ai-rig-complex,AI Rig Complex,arc,2025-02-13T01:18:13.205281,391629424,215860828,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
aixbt,aixbt by Virtuals,aixbt,2025-02-13T01:18:13.205281,219958230,154497845,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,0,0.0
melania-meme,Melania Meme,melania,2025-02-13T01:18:13.205281,214929841,55421935,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,0.0
act-i-the-ai-prophecy,Act I The AI Prophecy,act,2025-02-13T01:18:13.205281,192299362,78294288,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,634,343.35664335664336
griffain,GRIFFAIN,griffain,2025-02-13T01:18:13.205281,171489396,57090743,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,885,265.702479338843
book-of-meme,BOOK OF MEME,bome,2025-02-13T01:18:13.205281,157893922,92214067,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,994,84.07407407407408
zignaly,ZIGChain,zig,2025-02-13T01:18:13.205281,133920849,16921216,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,113,-3.418803418803419
tars-protocol,TARS AI,tai,2025-02-13T01:18:13.205281,125832524,5307892,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,702,1.2987012987012987
2025-02-13T02:33:45.605453,ai16z,ai16z,ai16z,568967507,338466920,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,752,0.0
2025-02-13T02:33:45.605453,ai-rig-complex,AI Rig Complex,arc,392585404,217804708,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
2025-02-13T02:33:45.605453,aixbt,aixbt by Virtuals,aixbt,220664101,158133866,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,0,0.0
2025-02-13T02:33:45.605453,melania-meme,Melania Meme,melania,215028124,58654527,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,0.0
2025-02-13T02:33:45.605453,act-i-the-ai-prophecy,Act I The AI Prophecy,act,191858883,80877850,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,0,-100.0
2025-02-13T02:33:45.605453,griffain,GRIFFAIN,griffain,167037160,57197352,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,571,90.96989966555184
